,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,R01K100,R01K100.1,R01K100.1.1,R01K100.1.1.1,R01K100.1.1.1.1,R01K100.1.1.1.1.1,R01K100.1.1.1.1.1.1,R01K100
0,0,0,0,0,0,0,0.0,-0.2751908163181161,-0.1944895823285145,-0.3838265372370571,-0.9704929469185004,-0.6154365892443902,-0.33588220006636843,-0.2751750301584812,-0.47859719613366936
1,1,1,1,1,1,1,1.0,-0.3108641815148369,-0.3015574345493028,-0.4359885492430157,-1.014425815204234,-0.6673629640014481,-0.40741502609493396,-0.34767459428368075,-0.981108915675416
2,2,2,2,2,2,2,2.0,-0.332851011215008,-0.3289258750694584,-0.4411724128669541,-1.0205443231730122,-1.0086240885826971,-0.4232328830563189,-0.3776819890173471,-1.0109205494388873
3,3,3,3,3,3,3,3.0,-0.3327241485539835,-0.3364605520823134,-0.6482465179799698,-1.0227532960828751,-1.0250979888917835,-0.4231892755780801,-0.4072451914093844,-1.0129028128694442
4,4,4,4,4,4,4,4.0,-0.33259699053184816,-0.3386501522379402,-0.6479650529646587,-1.0250460392049858,-1.029941997439012,-0.42314499474231904,-0.4164034460761208,-1.0133373379675812
5,5,5,5,5,5,5,5.0,-0.3324695501855973,-0.3720212631493507,-0.6475625464575209,-1.0262630823240593,-1.029943592156214,-0.4231002311174819,-0.4261139372623615,-1.0212269436285617
6,6,6,6,6,6,6,6.0,-0.3652162950087385,-0.3719739234514181,-0.6471035478222432,-1.0266781946829426,-1.0294013240236586,-0.4230552322504634,-0.4280838693946744,-1.021898451879829
7,7,7,7,7,7,7,7.0,-0.3692207954381589,-0.39283143602868775,-0.9485827751483128,-1.0276519895019351,-1.0310126562625213,-0.4230103354659411,-0.4280739530326213,-1.0251296125178284
8,8,8,8,8,8,8,8.0,-0.39991953452764334,-0.3920093372885656,-0.9539983902566452,-1.0281944107573522,-1.030332317857496,-0.42296602082277335,-0.4280804967418087,-1.027896440036738
9,9,9,9,9,9,9,9.0,-0.4043550418495155,-0.5758484460534171,-1.02642402787662,-1.0287609498230073,-1.031510154737762,-0.4216020134396721,-0.4285924544620562,-1.0277167735960038
10,10,10,10,10,10,10,,,-0.6673203008554083,-1.028349613215567,-1.0287839765062474,-1.0306830094850574,-0.4321840470274931,-0.4288018763901811,-1.0275208325404521
11,11,11,11,11,11,11,,,-0.8759412155583878,-1.0399164091625759,-1.02772946485131,-1.0314881597428789,-0.43217733714099066,-0.4285306899633989,-1.0273088832536548
12,12,12,12,12,12,12,,,-0.8759553868811422,-1.0416656988598998,-1.027629835223406,-1.0306044712999427,-0.4322409829945094,-0.4285297303949547,-1.0270811647445632
13,13,13,13,13,13,13,,,-0.8788147144778254,-1.0431309516104859,-1.0306457744370576,-1.0314634540791685,-0.4323993680107052,-0.4293992155134467,-1.026837896450817
14,14,14,14,14,14,14,,,-0.9085840267459454,-1.0493845515263431,-1.0298380490660053,-1.0594259833543302,-0.4323900718581724,-0.434090520144882,-1.0265792844968116
15,15,15,15,15,15,15,,,-0.9080930768956358,-1.0500177582115138,-1.0307427643913407,-1.0591461041970147,-0.4324567932270105,-0.4340952610489888,-1.026363133951222
16,16,16,16,16,16,16,,,-0.9075725546105741,-1.0505124948420856,-1.02988704448694,-1.0586359307370383,-0.4313587644501625,-0.4341266486825399,-1.026096141656085
17,17,17,17,17,17,17,,,-0.9070200805923871,-1.0508857235970799,-1.0308470626734556,-1.0579504150150898,-0.4358917688235178,-0.43414457795096734,-1.025802699657028
18,18,18,18,18,18,18,,,-0.906432249655284,-1.0511540290460104,-1.0299634612416444,-1.0587415859430187,-0.4355614735678973,-0.4864287985646584,-1.0254907711103796
19,19,19,19,19,19,19,,,-0.9058042989233736,-1.0513329911354214,-1.0309570340541474,-1.0582238306512737,-0.4355617118606809,-0.6106712821852213,-1.0251629263144422
20,20,20,20,20,20,20,,,-0.9051299532639056,-1.0514364289268294,-1.0301226836490749,-1.0589120573852688,-0.4356577271351768,-0.9460499512424458,-1.0248201084757578
21,21,21,21,21,21,21,,,-0.9044018787040201,-1.0514758535391917,-1.03106598098177,-1.0597875306190279,-0.4353974237909952,-0.9616498009971812,-1.0244631399296589
22,22,22,22,22,22,22,,,-0.9036131872149842,-1.0523397641142571,-1.0302033625187124,-1.0601456834875331,-0.4354162276527245,-1.0130727493757905,-1.0240921976721118
23,23,23,23,23,23,23,,,-0.902759656722288,-1.0527870475767167,-1.0308093938289062,-1.0595795238323402,-0.43562895240965377,-1.0162676910362922,-1.0237075804356108
24,24,24,24,24,24,24,,,-0.9018411387690582,-1.0530802400858408,-1.0299529914688779,-1.0603230334212157,-0.4356466179806428,-1.0160400528325038,-1.0233093867579466
25,25,25,25,25,25,25,,,-0.9008609770795426,-1.0532411881583383,-1.0309159479199168,-1.059883694660679,-0.4358484687222043,-1.015899382383247,-1.0228982564728175
26,26,26,26,26,26,26,,,-0.9008285659737522,-1.0532847858823189,-1.0300456196689554,-1.0604289517752994,-0.4358567897705902,-1.015312768837917,-1.027495442606119
27,27,27,27,27,27,27,,,-0.8988936179955617,-1.0529078913775334,-1.031026981434871,-1.0601019134548555,-0.4357665597326915,-1.0144556578859576,-1.027676807107219
28,28,28,28,28,28,28,,,-0.8988605826327546,-1.052957026648708,-1.030193134355143,-1.0595096020789456,-0.4356852836315446,-1.0155916299462469,-1.0278498467366226
29,29,29,29,29,29,29,,,-0.8994031286184372,-1.0525033819196472,-1.0311373769547143,-1.0599442953166838,-0.4361491344556501,-1.016331630889456,-1.02801142802134
30,30,30,30,30,30,30,,,-0.8993702541859974,-1.0525025961805816,-1.030290231237064,-1.0604467043573484,-0.43614239101709856,-1.035399182613241,-1.0281600253644567
31,31,31,31,31,31,31,,,-0.8987004719364838,-1.0516721219430918,-1.0308905113945883,-1.060145419811092,-0.4361146088313612,-1.0360210066257112,-1.0282947311410955
32,32,32,32,32,32,32,,,-0.8986695035427799,-1.0517929044216232,-1.0300350185667324,-1.0595789573333263,-0.4360625346004465,-1.0363661469340837,-1.0284149116178452
33,33,33,33,33,33,33,,,-0.8973783949697957,-1.0518028825985999,-1.0309994963121538,-1.0603224618925988,-0.4360728924545237,-1.0365505947301974,-1.0285202633174684
34,34,34,34,34,34,34,,,-0.8973438785450275,-1.0509292920923523,-1.0301446708795343,-1.059882932985537,-0.4348206885090271,-1.0366821483467357,-1.0286104488587735
35,35,35,35,35,35,35,,,-0.900675023020097,-1.0512030948666171,-1.031111552109396,-1.0604278003132694,-0.4347782521948128,-1.0367943898137872,-1.0304664893514102
36,36,36,36,36,36,36,,,-0.9006420877124505,-1.0549852338782884,-1.0302800987478855,-1.06010059119591,-0.4344956830313215,-1.0369001479863291,-1.0305133012809216
37,37,37,37,37,37,37,,,-0.8977130650733242,-1.0570024661296071,-1.0304708867413264,-1.0595069419130914,-0.4343884690439482,-1.0370055392570396,-1.0316792202954654
38,38,38,38,38,38,38,,,-0.8976796700073273,-1.0571772338081518,-1.030644880399524,-1.0595784317482289,-0.434328289017012,-1.0371139352275516,-1.0323620157109297
39,39,39,39,39,39,39,,,-0.8984524410929484,-1.0573825272208357,-1.0308343025956226,-1.0606451676572628,-0.43394070358705417,-1.0372273735575426,-1.0322775788457303
40,40,40,40,40,40,40,,,-0.8984182297287738,-1.0575364906531026,-1.0300028183737078,-1.0603262691294664,-0.4338439250811421,-1.0373471578967288,-1.0298943857185954
41,41,41,41,41,41,41,,,-0.8994951318812544,-1.0576296754551229,-1.0309395085142916,-1.0607509627794132,-0.4344783250730745,-1.037474161999605,-1.0297702149997994
42,42,42,42,42,42,42,,,-0.8994613449874336,-1.0590095431777484,-1.0300699133359483,-1.0607591653127784,-0.4343844922695986,-1.0376090236330255,-1.0296311069860526
43,43,43,43,43,43,43,,,-0.8983494244202855,-1.0590051228524442,-1.0310511961211408,-1.0610673967449873,-0.4344396768881558,-1.0420841918375658,-1.029477670799557
44,44,44,44,44,44,44,,,-0.8983184798978238,-1.0598526523515168,-1.030221713211823,-1.0606034060450005,-0.4342897376905092,-1.0430840178378094,-1.0293104016637706
45,45,45,45,45,45,45,,,-0.9002655580311559,-1.059864970173851,-1.0303892220346205,-1.0612065606926873,-0.4343615164639096,-1.044269193253001,-1.0291297056981903
46,46,46,46,46,46,46,,,-0.9002316996576217,-1.0610488883840763,-1.0305782894821718,-1.0608867369851906,-0.434186947793544,-1.045653608876095,-1.028935919644471
47,47,47,47,47,47,47,,,-0.901594261962582,-1.0648642469513618,-1.0310810945439346,-1.0602998795762155,-0.4341626782011602,-1.047205883978575,-1.0287293265390511
48,48,48,48,48,48,48,,,-0.9015656619783616,-1.0648357308629508,-1.0302778992852015,-1.0610435780961809,-0.4354850453161228,-1.0488587864751138,-1.0285101690005385
49,49,49,49,49,49,49,,,-0.9027802312594824,-1.0657798357596748,-1.0308345662725025,-1.0606465171732944,-0.4354921914635817,-1.051008171662723,-1.0282786597618667
