,2,0,0.1,0.1.1,0.1.1.1,0.1.1.1.1,0.1.1.1.1.1,0.1.1.1.1.1.1,0.1.1.1.1.1.1.1,0.1.1.1.1.1.1.1.1,0.1.1.1.1.1.1.1.1.1,0
0,-0.2270300972237833,-0.10676022390693347,-0.363605086374088,-0.7353100126241804,-0.3192718321235453,-0.2117970897882995,-0.06625032244247987,-0.32044827805217035,-0.11821432775884018,-0.3799870844874389,-0.4866919496805925,-0.4281171002399235
1,-0.2486817706330621,-0.10675118086438,-0.5431808319357071,-0.735295253854644,-0.3195819856704564,-0.21179309398621604,-0.06755052518906098,-0.3204480554664654,-0.1189503242928677,-0.3799839073571622,-0.5033505752990636,-0.42811678107755363
2,-0.2487437337320673,-0.10674137200065158,-0.5508160315905595,-0.7352805277080522,-0.6349235134588876,-0.21178909663240025,-0.06861528691410779,-0.33205258480528715,-0.1200679281074112,-0.3799807286017601,-0.5174076643921801,-0.4281164615929682
3,-0.24880543162132585,-0.10673071784056196,-0.5587375976346103,-0.7352658338655771,-0.6348331431544769,-0.21178509772575527,-0.08001916457600762,-0.33524150394936336,-0.12120419420884798,-0.3799775482203108,-0.5193314454100609,-0.4281161418254252
4,-0.248866861990416,-0.10672967151298272,-0.5669580339160115,-0.7352511720134987,-0.872102855411018,-0.21178109726482527,-0.2364098034958321,-0.33524011550835714,-0.12224695395726567,-0.3799743662120229,-0.5225671938659455,-0.4281158217607438
5,,,-0.5755017851714265,-0.7352365418430667,-0.8720872646527053,-0.21177709524870786,-0.2366856428250448,-0.3398762318752056,-0.3231877371940757,-0.3799711825759776,-0.5247200909748494,-0.4281155014280238
6,,,-0.5843887057988392,-0.7352219430504565,-0.8720716684037393,-0.21177309167621725,-0.2369616820624574,-0.33987552644825403,-0.3441054832088417,-0.3799679973113364,-0.7763207202889493,-0.42811518076239535
7,,,-0.5936212729682093,-0.735485501303087,-0.872056066663042,-0.2106342547411229,-0.23723840081880146,-0.3398747265013725,-0.34398063432041764,-0.379887892186322,-0.7763217674429689,-0.4277024613937006
8,,,-0.6603617233143902,-0.7331710366579676,-0.8697629844570975,-0.21118770773763235,-0.2364772310308272,-0.34079758843805263,-0.34385535299124803,-0.3800097645431322,-0.7763228289938363,-0.42782794680826314
9,,,-0.6611613935180571,-0.7331546641447189,-0.8697482996840223,-0.2103576929489268,-0.2350852514925617,-0.34191995210283865,-0.4190896931578144,-0.379443086060122,-0.7763239050632829,-0.4275097293277263
10,,,-0.6621309563316902,-0.7331383273329155,-0.8697336097912951,-0.19498277861659247,-0.23531903554006475,-0.3419195201304801,-0.45858976339320295,-0.37388919436341467,-0.7793774718002281,-0.42448171813581853
11,,,-0.8704717912942879,-0.7331220259131329,-0.8697189147778921,-0.1949792377215815,-0.23555105081056865,-0.34191908783637537,-0.4585429915893427,-0.3738833199035199,-0.7793785675160654,-0.4249439940583679
12,,,-0.8736350460793859,-0.7351194435959115,-0.8723724860285866,-0.19497570254568208,-0.2365664568463409,-0.34227513188813985,-0.4584960406686082,-0.3738774432378431,-0.7793796786972111,-0.4249399656558548
13,,,-0.8738283339045438,-0.7351028156006656,-0.8723572320186507,-0.19497217308941986,-0.2366718029786009,-0.34173894486545137,-0.4750003768629897,-0.3738715643662331,-0.7793808054721229,-0.4249359035574203
14,,,-0.8740332196691573,-0.7350862257844076,-0.8723419725169488,-0.1955902192166833,-0.2722361734140844,-0.34224290843367633,-0.4749986052453727,-0.3734458585344463,-0.7839924072880395,-0.42414137329172624
15,,,-0.8742503403605755,-0.7357721847059278,-0.8723267075226082,-0.1956105276473569,-0.2722293840095321,-0.35147632275043283,-0.4749968325704255,-0.3731915757270811,-0.7841437734914076,-0.42475536496745364
16,,,-0.8734246613638709,-0.7412131023937233,-0.8739331407091491,-0.2629818307209443,-0.2722225954542901,-0.3517996510322015,-0.4749950588371867,-0.3733057036405147,-0.784291365865351,-0.42403342429257174
17,,,-0.8715321771404698,-0.7411988165689973,-0.8739170539643394,-0.4608994761097282,-0.2722158077484873,-0.3520238573023165,-0.4748763187751424,-0.4694949355538602,-0.7844350354749426,-0.4132397205027976
18,,,-0.871755978500494,-0.7411845616709883,-0.8739009614009111,-0.4617810786417398,-0.2721659070095604,-0.35207764807554826,-0.4746053002252741,-0.469893525101211,-0.7816637685830526,-0.41323031711843744
19,,,-0.871994113332749,-0.7411703373275282,-0.8736067283945209,-0.4636912549232723,-0.27129278753597064,-0.3522960126996855,-0.47492663152313,-0.6866886113788294,-0.7816643448274763,-0.41322085996829633
20,,,-0.8710648369526491,-0.7413183479271052,-0.8775810471651093,-0.4646776930304295,-0.2689573381794573,-0.3524904812045179,-0.4704241311952163,-0.6886759942481657,-0.7816649322513279,-0.41321135557765465
21,,,-0.8709106978355352,-0.7394385713603246,-0.8775649347001583,-0.4656866564595892,-0.2689504590236634,-0.353848415076489,-0.4705732797151336,-0.6905503649221701,-0.7816655309756352,-0.4125622814567731
22,,,-0.8735022936196698,-0.7394268891686476,-0.8775488162621293,-0.4673851925993674,-0.26894358068352897,-0.3540855687192621,-0.4707207990129406,-0.6924208905111435,-0.7839943940753482,-0.4113292276106679
23,,,-0.8738158769520135,-0.8162069544751187,-0.8775326918504379,-0.4690126859102554,-0.2689367031593768,-0.3606669918809232,-0.4708666620616318,-0.6943512509778405,-0.7840178899264332,-0.41133264385305146
24,,,-0.874148689863349,-0.8160248035332294,-0.8792043900978923,-0.4705691999288051,-0.27031945551989256,-0.360664069364336,-0.471181972949957,-0.6963255367042614,-0.7840417346410843,-0.41133590299826256
25,,,-0.8745027692007967,-0.8158423007365274,-0.8791860939304461,-0.4720555476469688,-0.2703122411827266,-0.3606610165170385,-0.4696647525866098,-0.7177693261513038,-0.7840658216822529,-0.4095934224163866
26,,,-0.8771022115527121,-0.8156594461179679,-0.8791677907809762,-0.4734559579346629,-0.26937609728586737,-0.3606578025340952,-0.4696579418787916,-0.7270353027681891,-0.7848868961604595,-0.7608490462390409
27,,,-0.8771337245711762,-0.8142898390012183,-0.8763741120524754,-0.4747968984894304,-0.2668869269160925,-0.38517133928466535,-0.4714096969743313,-0.7332758934603837,-0.7884472721477868,-0.7607916251591468
28,,,-0.8771652204296616,-0.8141034112670621,-0.8763572390909868,-0.4761282004133426,-0.2668792786746354,-0.6534937527764536,-0.4714053190149188,-0.7363645870947869,-0.7885349555435339,-0.7607341632443559
29,,,-0.8771966991100361,-0.8139166185780967,-0.8763403601465712,-0.4773848975590324,-0.2668716312881615,-0.839263890156741,-0.47140094433250107,-0.7365110379968779,-0.7886204687853587,-0.7606766604598917
30,,,-0.8751038173540396,-0.8131175679454178,-0.8763234752182321,-0.4785854278975822,-0.2668639847564695,-0.8392707835578826,-0.4712546096351553,-0.7366058831564964,-0.7887037600454759,-0.7613705851754395
31,,,-0.8751375640252305,-0.8122562413421546,-0.8764196346707916,-0.4797442375980362,-0.2676815422623879,-0.8392775343516923,-0.4711445466762754,-0.7366488233472872,-0.7867099265803532,-0.7624862640376843
32,,,-0.8751712948990944,-0.8120686743087178,-0.8773922867604355,-0.4808550786735878,-0.26504754460681595,-0.8392841423893683,-0.4709702123286276,-0.7308340072987742,-0.7867865034307943,-0.762422242637071
33,,,-0.8752050099557178,-0.8118807458923102,-0.8773052791701994,-0.4819200083839553,-0.26503900355304466,-0.8397008194644813,-0.4862279414578037,-0.73083447929599,-0.7868611563325407,-0.7623581793269205
34,,,-0.8716272066573809,-0.8116334009557319,-0.8423593558424929,-0.4829415660503546,-0.2650304633887752,-0.8379360647999768,-0.4862545277255374,-0.7308343383602317,-0.7928288722924588,-0.7658178848132995
35,,,-0.871663284390966,-0.8119929637992075,-0.8423234925136337,-0.4846408426807724,-0.26502192411424125,-0.837928889036082,-0.4862783727563279,-0.7308343257459751,-0.7929247847896685,-0.765751401402251
36,,,-0.8716993456763632,-0.8141816734389857,-0.8422876106265451,-0.4988804458878732,-0.2670109646968873,-0.8379215571206644,-0.4862995683606309,-0.7289992863527912,-0.7930209305428441,-0.7656848752917691
37,,,-0.8717353904932136,-0.8140162621190488,-0.8422517101784637,-0.4990265379770841,-0.2670018529941245,-0.8364898615903107,-0.4885573119398603,-0.7290006226354846,-0.7931172776442156,-0.7656183064516942
38,,,-0.8713266011588331,-0.8138505686949989,-0.8467536514015134,-0.4991623928942214,-0.2669927420673561,-0.836485236897451,-0.4889147449269392,-0.7290013421837628,-0.7947343011943311,-0.7663754305905702
39,,,-0.8708188669074303,-0.8148195970680938,-0.8467183609683947,-0.4992879432966261,-0.26644994940358385,-0.8364804595009774,-0.4892630052917198,-0.7272543810696512,-0.7948303264186554,-0.7639759007269173
40,,,-0.8717986699915555,-0.8137478263722709,-0.8466830523252177,-0.4977821334170818,-0.2670297425839224,-0.8348911432739426,-0.4892486189751238,-0.7272638544673621,-0.7949260092823845,-0.7639075448344713
41,,,-0.8531730215801628,-0.8102411534662824,-0.8466477254694315,-0.497879657275785,-0.26635212920703194,-0.8348889258252914,-0.4899285693219132,-0.7272597253013879,-0.7906447386690222,-0.7638391462826757
42,,,-0.8530855854164936,-0.8100768947686422,-0.8466574498782891,-0.5037332088081595,-0.2458098701997977,-0.8348865573288161,-0.4897134431655438,-0.7316042480399141,-0.7907347492565042,-0.7637707050426878
43,,,-0.8529980995144206,-0.8099123626207517,-0.8516559567650941,-0.5038049558073758,-0.2458044404233088,-0.8358034440814978,-0.4897034342753722,-0.7316050217016602,-0.7908239777675973,-0.7612732763961064
44,,,-0.8529105640126462,-0.8097475568423913,-0.8516208812759426,-0.5038643721738145,-0.2457990115822173,-0.8374716613200163,-0.4850175196602921,-0.7316051844303292,-0.7909124009386821,-0.7612133323893494
45,,,-0.8526123900085543,-0.8048176361526047,-0.8515857870000406,-0.5039113923155569,-0.2457935836768948,-0.837469555294198,-0.4850110331660301,-0.7316048678869306,-0.7970640136242026,-0.7611533526797815
46,,,-0.8487384026609907,-0.8046480850342278,-0.8515506739343931,-0.5086121493795089,-0.2455037160281377,-0.8374672969918764,-0.4850045411098034,-0.7328753750054172,-0.7980532400110193,-0.7610933372400146
47,,,-0.8486482855862941,-0.8044782549031935,-0.8548642325040512,-0.5086809182906936,-0.24572903886584105,-0.8335340655117973,-0.484998043502477,-0.732876413807332,-0.7988172484498323,-0.7634832225824646
48,,,-0.8485580860106038,-0.8043081455734654,-0.8548324186517369,-0.5087376853671891,-0.2468805465839285,-0.8335333131830539,-0.4858808597757386,-0.7390484698324897,-0.7994068262139821,-0.763412490160758
49,,,-0.848467803913881,-0.8041012441230538,-0.8548005886056659,-0.5087824049086436,-0.2468750425657101,-0.8335324118361908,-0.4866720133054193,-0.7390489268724573,-0.7998613650813725,-0.7633417144307898
50,,,-0.8475899532752413,-0.8070606345383312,-0.8547687423630929,-0.5104186320229588,-0.2464306719760085,-0.8335313614074351,-0.486664815015817,-0.7390487820190594,-0.8002116064345901,-0.7632708953645033
51,,,-0.8482398272759057,-0.806904355244424,-0.8565874977911093,-0.510454378874873,-0.2452826175646049,-0.8341277357913203,-0.4866542055939949,-0.7390487698718557,-0.799496828889286,-0.762591631624874
52,,,-0.8448569488418224,-0.8067478263440223,-0.856553927750847,-0.51618765804507,-0.24527698256957914,-0.8336601398299658,-0.4854505670956276,-0.7443805306081606,-0.8028448448842114,-0.7627930169607635
53,,,-0.8447622737892272,-0.8065910476209787,-0.8565203400555697,-0.5161907040561868,-0.2486678214524552,-0.8328389979209742,-0.4854428114638907,-0.7443821661274613,-0.8036156560909642,-0.7653975314853133
54,,,-0.8446675505296042,-0.8019302951295337,-0.8542302313028807,-0.5161876233632862,-0.2486663609808852,-0.8269741740844783,-0.4854178219682287,-0.7443832101811615,-0.8042080028988885,-0.7653270754175635
55,,,-0.8445727792336375,-0.801766549580962,-0.8541970467607422,-0.5161906696574543,-0.2499509297852647,-0.8269735363239615,-0.4856768587956634,-0.7443836627109177,-0.80465971100209,-0.7652565799992611
56,,,-0.8454456105115828,-0.8016025409414779,-0.8541638445072494,-0.5170002597048102,-0.2499682145080953,-0.8269727846930349,-0.4860699263178181,-0.7404042468010605,-0.8049998722836053,-0.7651860452101257
57,,,-0.8478866440690025,-0.8014382689936062,-0.8541306245391819,-0.5175442462844051,-0.25062153319213804,-0.8269719191417226,-0.4968894788480613,-0.7404055182391454,-0.8080471861290558,-0.7649803184366074
58,,,-0.8477960896343082,-0.802613889634092,-0.8535316560859945,-0.5168803931553745,-0.2506345121747943,-0.8256183622753803,-0.4968753734951769,-0.7404061949933225,-0.8083619907001032,-0.7667666563017412
59,,,-0.8477054512208082,-0.8038249679077714,-0.8538784592201497,-0.5772768526232345,-0.30707328839826964,-0.8256099137365983,-0.4968612292997492,-0.7404062770105843,-0.8086038001241271,-0.7667081058974803
60,,,-0.8476147288051291,-0.8036889074686447,-0.8525289873464655,-0.5772795595084073,-0.30706443468094125,-0.8207089047026395,-0.4968470462948282,-0.7460919220913096,-0.8087890732948512,-0.7666495133763641
61,,,-0.8489787867969325,-0.8035526561583319,-0.8524968494882323,-0.5772775541050768,-0.307055579866653,-0.8207040416912411,-0.4971076175375743,-0.7915172804842237,-0.8059941764456601,-0.7625450081780198
62,,,-0.8488927893211415,-0.801301494861024,-0.8535530523298928,-0.5772802609949882,-0.30704672395579885,-0.8206990661686336,-0.4972503173340269,-0.9542146450790816,-0.8060315514367449,-0.7624818656515704
63,,,-0.8438763519622964,-0.8011548271863741,-0.8549485575617124,-0.576875316308871,-0.4160192474763126,-0.820693977965419,-0.4967471513054825,-0.954300318855246,-0.8060690874065698,-0.762418680041396
64,,,-0.8437841628450582,-0.8010079444833822,-0.8549113722248999,-0.5775451206753391,-0.41679149174116203,-0.8189203026059305,-0.5009644583386714,-0.9543949494748662,-0.8061067997714932,-0.7623554513090944
65,,,-0.8436919225706079,-0.8008608465441795,-0.8548741638853276,-0.5832204637302153,-0.4175724654967709,-0.8189107344140835,-0.5009589319744223,-0.9544981315339428,-0.8087497528461596,-0.7565536414283308
66,,,-0.8435996312923633,-0.8000779402674038,-0.8582106906806409,-0.5832181027710469,-0.41836268754736616,-0.8189010417700935,-0.5009532561462783,-0.9545242928089528,-0.8092795259906851,-0.7564884492482106
67,,,-0.8471673369543832,-0.8006591418659683,-0.8581717214558396,-0.583221629910233,-0.4184589127296991,-0.8198975980851013,-0.5009474353360667,-0.9581690336244312,-0.8099276572655416,-0.756423213585131
68,,,-0.8470784201177332,-0.8025569404816745,-0.8581327267048047,-0.5832192685038741,-0.4166940415580683,-0.8233813388543525,-0.5002625238766549,-0.9582981847083932,-0.8107168670635491,-0.756357934403009
69,,,-0.8469894204055101,-0.8024095279155591,-0.8580937064220814,-0.5832188135742449,-0.4167897356160297,-0.8233631462082547,-0.5006765229403981,-0.9584389020087464,-0.8116761705914801,-0.7556025129559679
70,,,-0.8469003377873309,-0.8022618891497466,-0.8601053273452179,-0.5815840087332647,-0.4168855140285673,-0.8233448154127431,-0.5012892260761084,-0.9585902146934248,-0.8128379138641294,-0.7611628164597839
71,,,-0.8463089689061928,-0.8020794366330769,-0.8600656235702584,-0.5815874945806858,-0.4185369033613332,-0.8233263461288113,-0.4888761169743944,-0.9539001260021174,-0.8142440701973828,-0.7611057150887135
72,,,-0.8472828052788308,-0.8003690399328699,-0.8600258934572891,-0.5815851377491621,-0.4186329640120017,-0.8248118828225776,-0.5016428085646469,-0.9540677388565209,-0.8159631405788267,-0.7610485741601706
73,,,-0.8477462766929439,-0.8001918812265302,-0.8584579589332925,-0.5798187003966169,-0.4187291045809243,-0.8247936548595775,-0.5016341558531389,-0.9542406987706016,-0.8160500168184336,-0.760991393633408
74,,,-0.8904336466992403,-0.8000144114962785,-0.8584196491016264,-0.5798231761452577,-0.4201351853800412,-0.8247752924983743,-0.5016255077209336,-0.954429697708466,-0.8161368933398669,-0.760445221467955
75,,,-0.8904242226310182,-0.7998366305533992,-0.8583813138048898,-0.5798191278137235,-0.42022640633284336,-0.8232246225790296,-0.5016168657394184,-0.956515773854824,-0.8236479946504899,-0.7624448868110343
76,,,-0.8904147978817883,-0.8022152415677549,-0.8592217294983419,-0.5755365609621862,-0.4203177444053372,-0.8232134640090961,-0.5002984517518979,-0.9567085250318752,-0.8325895714687765,-0.7624048460477164
77,,,-0.8904053724753921,-0.8020532350936123,-0.8612786559004492,-0.5755326308205622,-0.4143009113149102,-0.8232021763152094,-0.5002907034566945,-0.9568977402804799,-0.833165999455533,-0.7623647724020174
78,,,-0.8921522715247012,-0.8018909591117769,-0.8612387318061178,-0.5755366617224273,-0.41439204259306905,-0.8215486302495403,-0.5003611715062319,-0.9570797146287066,-0.833737102399807,-0.7620394135938211
79,,,-0.8921442134714541,-0.8017284133917,-0.8611987804605763,-0.5755327315095389,-0.41448333612801336,-0.8215371834349954,-0.5013014065757528,-0.9547197569359812,-0.8343026079311819,-0.7602496220579334
80,,,-0.8921361550604178,-0.8054216743121632,-0.8630625313324107,-0.5731665550361453,-0.4145747902125853,-0.8215255997350358,-0.500090972148093,-0.9548990032951348,-0.8348622408114684,-0.7602110228239554
81,,,-0.8913386059898191,-0.8052689974633898,-0.8630273476070075,-0.5731692457113964,-0.4986875517641738,-0.8187594139637476,-0.4991103454838027,-0.9550685463195236,-0.8354157235252782,-0.7601723920750386
82,,,-0.8880525528268702,-0.8051160735087524,-0.8629921416788128,-0.573166552901765,-0.7525146479507244,-0.8187496088363363,-0.4991112093914298,-0.9552261735201132,-0.8359627781790379,-0.7593298462584709
83,,,-0.8880686282906097,-0.8049629022186864,-0.8605753897897629,-0.5731692438031271,-0.7547937533516899,-0.8187396638580859,-0.5096987411658099,-0.9561423494405016,-0.8365031231046965,-0.7584788718494379
84,,,-0.8880847023139821,-0.8010702434134488,-0.8605381014365727,-0.57031211134869,-0.7596510081656863,-0.8187295786235542,-0.5096858032605676,-0.9573732013740838,-0.8370364774522382,-0.758434812962656
85,,,-0.8881007749002647,-0.8009182982744729,-0.8605007886206532,-0.570307239394097,-0.7648388534372844,-0.8170208963495459,-0.5096728501325714,-0.9575974978241492,-0.8375625604053525,-0.7587858362748973
86,,,-0.8868696271746038,-0.800766111121366,-0.8604634513357937,-0.5703119872673179,-0.7700294644277534,-0.8170130724629681,-0.5096598817891722,-0.9577754299900748,-0.8315238868344156,-0.7611271901827555
87,,,-0.8868789287184583,-0.8006136817151823,-0.8610725430147416,-0.5703071146044203,-0.7751797136884735,-0.8170051017174375,-0.5105038953978867,-0.9569431293054808,-0.8320397942272537,-0.7610847486559316
88,,,-0.8858021082128803,-0.7981328327553666,-0.8576474078069164,-0.5729866096023161,-0.7796000599646814,-0.8191411245355981,-0.5106440712738289,-0.955100657198278,-0.8325475621031218,-0.7610422634370524
89,,,-0.8858164725579978,-0.7979769679189558,-0.857611689575395,-0.5729857979941926,-0.7813485269678379,-0.8191281090725449,-0.5083132636828457,-0.9708342724318174,-0.8330469111237431,-0.7609997344661623
90,,,-0.8851148532115041,-0.7978208573793704,-0.8575759490650575,-0.5729866514819306,-0.7828981502197481,-0.8191149374921679,-0.5828787010710305,-0.9719503368449854,-0.8370930664350145,-0.7594865735297615
91,,,-0.8851104601345522,-0.7976645008889018,-0.8575401862702273,-0.5729858399385173,-0.7843185241504821,-0.8191016094097245,-0.582848451589693,-0.973007789273288,-0.8374635704717038,-0.759450202713583
92,,,-0.8909301401875794,-0.8015909455623634,-0.8542789235919114,-0.5703137606052007,-0.7856120617329215,-0.8215644979079711,-0.5828182324820037,-0.9740941460242286,-0.8378285943865933,-0.7594137805834795
93,,,-0.8908705602541481,-0.8014466692696488,-0.8542454065397688,-0.5703146572012082,-0.7868133301462067,-0.8215545927945024,-0.5827880434612766,-0.9751881621714455,-0.8381880007716354,-0.7587237788174176
94,,,-0.8908110841539468,-0.8013021766526097,-0.8542118692176223,-0.5703139266061339,-0.7879430215688383,-0.8215445343593492,-0.5840843466353022,-0.9762501083743114,-0.835457776618087,-0.7540769690785847
95,,,-0.8907922551147684,-0.801157467493899,-0.8541783116207337,-0.5703148233702354,-0.7890007489684228,-0.8269992227165783,-0.5840547075700521,-0.976520494842283,-0.8358133126078341,-0.7540342361800401
96,,,-0.8890641330337283,-0.8035393324447959,-0.8523019898850952,-0.5681729698654409,-0.7899861849854087,-0.9097367234853208,-0.5844310697748711,-0.9766535202467759,-0.8361621353008081,-0.753991456357243
97,,,-0.8890459383897019,-0.8034070619745555,-0.8522692624673119,-0.5681709678229823,-0.7908990547447933,-0.9097419648891318,-0.5868089778977681,-0.9816319883422988,-0.8365041006118913,-0.7539486295570048
98,,,-0.8890276254337225,-0.8032746020125908,-0.8522365161709227,-0.5681733083436314,-0.7917391292865631,-0.909747210716848,-0.5867798192335192,-0.9816790523520312,-0.8390595644034999,-0.7491101661642212
99,,,-0.8886049782270551,-0.80314195236961,-0.8552044288665109,-0.5681713060622137,-0.7925062195901169,-0.9097524603252538,-0.5867506807284978,-0.9816931746259344,-0.8393223682785613,-0.749070561690428
